occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Operation manager,Insurance underwriter,37.1,56.9,80.69,-1.04,-1.51,100.00,100.00,0.23,100.00,99.77
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,-0.00,-3.12,95.00,92.50,1.56,93.75,92.29
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,-2.31,-3.80,100.00,100.00,0.75,100.00,99.25
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,-1.95,-3.13,100.00,95.00,0.59,97.50,96.92
Information security analyst,Executive secretary,19.3,90.0,80.53,-0.38,-6.22,82.50,100.00,2.92,91.25,88.59
Property assessor,Loan officer,34.2,51.6,80.52,-0.11,-0.83,77.50,94.87,0.36,86.19,85.88
Software developer,Insurance sales agent,20.2,54.9,80.48,-1.90,-6.99,100.00,100.00,2.55,100.00,97.45
Lawyer,Accountant,39.5,57.0,80.39,-3.14,-7.84,100.00,100.00,2.35,100.00,97.65
Information security analyst,Social and community service manager,19.3,71.7,80.27,-2.36,-5.58,100.00,100.00,1.61,100.00,98.39
Information security analyst,Public relations specialist,19.3,76.2,80.07,-2.31,-3.80,100.00,100.00,0.74,100.00,99.26
Software developer,Public relations specialist,20.2,76.2,79.88,1.43,-9.11,100.00,100.00,5.27,100.00,94.73
Cook,Baker,39.8,65.5,79.84,-1.53,-0.69,100.00,85.00,-0.42,92.50,92.11
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,-1.60,-1.71,100.00,100.00,0.05,100.00,99.95
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,-0.75,-3.27,100.00,100.00,1.26,100.00,98.74
Lawyer,Legal secretary,39.5,96.4,79.62,6.66,-8.72,85.00,72.41,7.69,78.71,72.65
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,-0.07,-3.69,100.00,55.00,1.81,77.50,76.10
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,-2.33,-1.31,100.00,100.00,-0.51,100.00,99.49
Property assessor,Social and community service manager,34.2,71.7,79.29,0.32,-6.46,100.00,97.50,3.39,98.75,95.40
Mechanical engineer,Biological scientist,10.1,55.0,79.28,2.16,-6.31,97.50,100.00,4.23,98.75,94.57
Web developer,Customer service representative,19.4,65.3,79.26,0.83,-11.38,90.00,92.86,6.10,91.43,85.85
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,1.88,-8.22,100.00,96.43,5.05,98.21,93.26
