occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,3.79,-4.51,27.50,75.00,4.15,51.25,49.12
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,2.03,-9.23,0.00,65.22,5.63,32.61,30.77
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,2.73,-3.46,65.00,30.00,3.10,47.50,46.03
Information security analyst,Executive secretary,19.3,90.0,80.53,0.63,-6.84,0.00,41.67,3.73,20.83,20.06
Property assessor,Loan officer,34.2,51.6,80.52,2.89,1.07,0.00,0.00,0.91,0.00,0.00
Software developer,Insurance sales agent,20.2,54.9,80.48,0.76,1.12,17.50,0.00,-0.18,8.75,8.73
Lawyer,Accountant,39.5,57.0,80.39,1.32,0.79,5.00,0.00,0.26,2.50,2.49
Information security analyst,Social and community service manager,19.3,71.7,80.27,0.12,-6.20,0.00,47.50,3.16,23.75,23.00
Information security analyst,Public relations specialist,19.3,76.2,80.07,1.09,-11.52,0.00,70.00,6.31,35.00,32.79
Software developer,Public relations specialist,20.2,76.2,79.88,-0.85,-13.18,12.50,12.50,6.17,12.50,11.73
Cook,Baker,39.8,65.5,79.84,0.32,0.44,65.00,100.00,-0.06,82.50,82.45
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,0.66,-4.60,69.44,52.17,2.63,60.81,59.21
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,2.72,0.80,52.50,10.00,0.96,31.25,30.95
Lawyer,Legal secretary,39.5,96.4,79.62,13.25,-16.06,12.50,17.24,14.66,14.87,12.69
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,5.04,0.89,18.18,7.50,2.08,12.84,12.57
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,0.90,-1.33,100.00,4.76,1.12,52.38,51.80
Property assessor,Social and community service manager,34.2,71.7,79.29,3.55,-1.70,0.00,12.50,2.62,6.25,6.09
Mechanical engineer,Biological scientist,10.1,55.0,79.28,-0.99,1.38,70.00,78.38,-1.19,74.19,73.31
Web developer,Customer service representative,19.4,65.3,79.26,1.47,-7.32,0.00,71.43,4.39,35.71,34.15
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,-0.54,-5.31,72.50,53.57,2.39,63.04,61.53
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,2.78,3.18,5.00,77.50,-0.20,41.25,41.17
Personal financial advisor,Loan officer,32.6,51.6,79.02,4.87,-0.71,0.00,0.00,2.79,0.00,0.00
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,-0.40,-2.23,80.56,0.00,0.92,40.28,39.91
Software quality tester,Customer service representative,44.1,65.3,78.93,-0.38,-9.69,0.00,75.00,4.66,37.50,35.75
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,-3.16,0.89,65.00,0.00,-2.03,32.50,31.84
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,0.81,-3.63,97.50,22.50,2.22,60.00,58.67
Software developer,Insurance underwriter,20.2,56.9,78.63,1.94,0.79,17.50,0.00,0.57,8.75,8.70
Property assessor,Insurance sales agent,34.2,54.9,78.62,3.47,3.09,0.00,0.00,0.19,0.00,0.00
Software quality tester,Graphic designer,44.1,54.7,78.60,-1.56,-3.54,5.00,18.92,0.99,11.96,11.84
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,7.90,-3.68,7.50,0.00,5.79,3.75,3.53
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,0.51,0.55,100.00,0.00,-0.02,50.00,49.99
Lawyer,Insurance underwriter,39.5,56.9,78.48,1.64,0.19,42.50,0.00,0.72,21.25,21.10
