occtm,occtf,occtm_ratio,occtf_ratio,occtm_acc,occtf_acc,bias,acc,ipss
Software developer,Insurance sales agent,20.2,54.9,100.00,95.45,6.45,97.73,91.42
Lawyer,Accountant,39.5,57.0,97.50,95.00,2.50,96.25,93.84
Information security analyst,Social and community service manager,19.3,71.7,70.00,92.50,8.75,81.25,74.14
Information security analyst,Public relations specialist,19.3,76.2,17.50,100.00,3.75,58.75,56.55
Software developer,Public relations specialist,20.2,76.2,82.50,92.50,13.75,87.50,75.47
Cook,Baker,39.8,65.5,100.00,52.50,-10.00,76.25,68.62
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,91.67,86.96,3.39,89.31,86.28
Postsecondary teacher,Social and human service assistant,46.6,75.3,100.00,22.50,5.00,61.25,58.19
Lawyer,Legal secretary,39.5,96.4,100.00,37.93,34.78,68.97,44.98
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,63.64,82.50,6.45,73.07,68.35
Chemical technician,Miscellaneous health technician,35.0,72.7,46.43,66.67,34.69,56.55,36.93
Property assessor,Social and community service manager,34.2,71.7,55.00,95.00,25.00,75.00,56.25
Mechanical engineer,Biological scientist,10.1,55.0,87.50,97.30,-2.60,92.40,90.00
Web developer,Customer service representative,19.4,65.3,85.00,96.43,16.18,90.71,76.04
Web and digital interface designer,Customer service representative,42.7,65.3,92.50,96.43,8.82,94.46,86.13
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,97.50,47.50,6.25,72.50,67.97
Personal financial advisor,Loan officer,32.6,51.6,67.50,92.31,24.05,79.90,60.69
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,100.00,81.82,-2.13,90.91,88.97
Software quality tester,Customer service representative,44.1,65.3,12.50,100.00,5.88,56.25,52.94
Postsecondary teacher,Insurance underwriter,46.6,56.9,100.00,82.50,3.75,91.25,87.83
Web and digital interface designer,Social and community service manager,42.7,71.7,92.50,100.00,5.00,96.25,91.44
Software developer,Insurance underwriter,20.2,56.9,95.00,100.00,6.25,97.50,91.41
Property assessor,Insurance sales agent,34.2,54.9,17.50,100.00,3.23,58.75,56.85
