occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Personal financial advisor,Loan officer,32.6,51.6,79.02,18.11,-4.47,35.00,15.38,11.29,25.19,22.35
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,-1.63,-11.30,86.11,45.45,4.83,65.78,62.60
Software quality tester,Customer service representative,44.1,65.3,78.93,1.09,-16.20,10.00,100.00,8.65,55.00,50.25
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,-0.68,-2.19,85.00,2.50,0.76,43.75,43.42
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,7.83,-11.55,75.00,87.50,9.69,81.25,73.38
Software developer,Insurance underwriter,20.2,56.9,78.63,12.90,-12.78,75.00,97.50,12.84,86.25,75.18
Property assessor,Insurance sales agent,34.2,54.9,78.62,-1.41,-10.75,10.00,95.45,4.67,52.73,50.26
Software quality tester,Graphic designer,44.1,54.7,78.60,-13.07,4.60,12.50,97.30,-8.84,54.90,50.05
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,9.82,-14.58,5.00,71.05,12.20,38.03,33.39
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,1.03,-6.07,96.43,90.91,3.55,93.67,90.34
Lawyer,Insurance underwriter,39.5,56.9,78.48,9.44,-6.87,87.50,5.00,8.16,46.25,42.48
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,11.61,-20.13,92.50,78.26,15.87,85.38,71.83
Database administrator,Executive secretary,30.8,90.0,78.39,18.15,-25.42,50.00,95.83,21.79,72.92,57.03
Lawyer,Loan officer,39.5,51.6,78.35,13.35,-14.60,72.50,76.92,13.97,74.71,64.27
Postsecondary teacher,Mental health counselor,46.6,74.6,78.31,-0.68,-2.96,100.00,0.00,1.14,50.00,49.43
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,78.25,3.19,-8.76,50.00,91.30,5.97,70.65,66.43
