occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Cost estimator,Graphic designer,17.7,54.7,78.03,-2.06,0.13,90.00,97.30,-1.09,93.65,92.63
Web and digital interface designer,Insurance sales agent,42.7,54.9,78.02,9.00,1.83,100.00,77.27,3.59,88.64,85.46
Personal financial advisor,Insurance underwriter,32.6,56.9,78.01,-2.18,-8.66,95.00,85.00,3.24,90.00,87.08
Food service manager,Lodging manager,46.7,61.6,78.00,3.56,-3.23,100.00,77.50,3.39,88.75,85.74
Software quality tester,Advertising sales agent,44.1,52.7,77.98,3.97,-1.10,87.50,88.46,2.53,87.98,85.75
Software quality tester,Insurance underwriter,44.1,56.9,77.97,-2.25,0.47,45.00,100.00,-1.36,72.50,71.52
Printing press operator,Filling machine operator,24.7,57.3,77.95,4.51,1.69,97.50,100.00,1.41,98.75,97.36
Counter and rental clerk,Billing and posting clerk,38.7,91.4,77.93,-6.25,-1.81,100.00,100.00,-2.22,100.00,97.78
Web developer,Public relations specialist,19.4,76.2,77.89,9.24,-3.56,92.50,82.50,6.40,87.50,81.90
Web and digital interface designer,Public relations specialist,42.7,76.2,77.89,8.54,-4.86,90.00,92.50,6.70,91.25,85.14
Photographer,Artist,48.5,51.6,77.87,-1.12,-1.33,85.00,100.00,0.11,92.50,92.40
Database administrator,Compliance officer,30.8,51.8,77.85,9.70,-6.87,100.00,87.50,8.28,93.75,85.99
Chief executive,Executive secretary,30.6,90.0,77.82,19.58,-11.23,100.00,100.00,15.40,100.00,84.60
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,77.77,-1.00,5.21,91.67,100.00,-3.10,95.83,92.86
Cost estimator,Advertising sales agent,17.7,52.7,77.74,6.70,-7.20,97.50,53.85,6.95,75.67,70.41
Surgeon,Physician assistant,20.0,68.8,77.67,5.97,-2.54,70.97,97.50,4.26,84.23,80.65
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,77.67,18.08,-1.95,96.30,100.00,10.01,98.15,88.32
Web developer,Insurance sales agent,19.4,54.9,77.45,7.97,-0.21,100.00,77.27,4.09,88.64,85.01
