occtm,occtf,occtm_ratio,occtf_ratio,similarity,occtm_bias,occtf_bias,occtm_acc,occtf_acc,bias,acc,ipss
Software developer,Customer service representative,20.2,65.3,80.93,16.57,-6.07,82.50,96.43,11.32,89.46,79.34
Chemists and materials scientist,Biological scientist,36.0,55.0,80.90,2.66,-2.96,0.00,48.65,2.81,24.32,23.64
Surgeon,Medical scientist,20.0,51.8,80.81,7.83,-0.01,67.74,94.74,3.92,81.24,78.05
Operation manager,Insurance underwriter,37.1,56.9,80.69,0.40,4.23,15.00,97.50,-1.92,56.25,55.17
Postsecondary teacher,Social and community service manager,46.6,71.7,80.66,4.48,-1.27,90.00,20.00,2.88,55.00,53.42
Information security analyst,Payroll and timekeeping clerk,19.3,88.2,80.57,7.70,-9.68,87.50,52.17,8.69,69.84,63.77
Electrical and electronic engineering technician,Medical appliance technician,11.6,58.9,80.54,0.78,1.28,100.00,25.00,-0.25,62.50,62.34
Information security analyst,Executive secretary,19.3,90.0,80.53,27.07,-12.81,52.50,100.00,19.94,76.25,61.04
Property assessor,Loan officer,34.2,51.6,80.52,4.72,0.36,27.50,89.74,2.18,58.62,57.34
Software developer,Insurance sales agent,20.2,54.9,80.48,11.20,-10.56,95.00,100.00,10.88,97.50,86.89
Lawyer,Accountant,39.5,57.0,80.39,1.02,0.28,100.00,87.50,0.37,93.75,93.41
Information security analyst,Social and community service manager,19.3,71.7,80.27,4.37,-3.76,97.50,52.50,4.06,75.00,71.95
Information security analyst,Public relations specialist,19.3,76.2,80.07,14.55,-13.20,77.50,95.00,13.88,86.25,74.28
Software developer,Public relations specialist,20.2,76.2,79.88,15.00,-17.40,95.00,87.50,16.20,91.25,76.47
Cook,Baker,39.8,65.5,79.84,1.74,1.03,97.50,97.50,0.36,97.50,97.15
First-line supervisor of retail sales workers,Payroll and timekeeping clerk,44.6,88.2,79.77,1.29,1.62,83.33,78.26,-0.16,80.80,80.67
Postsecondary teacher,Social and human service assistant,46.6,75.3,79.70,7.92,-0.51,95.00,57.50,4.22,76.25,73.03
Lawyer,Legal secretary,39.5,96.4,79.62,28.08,-30.55,60.00,31.03,29.32,45.52,32.17
First-line supervisor of housekeeping and janitorial workers,Housekeeping cleaner,44.1,88.4,79.57,0.32,-5.12,40.91,90.00,2.72,65.45,63.67
Chemical technician,Miscellaneous health technician,35.0,72.7,79.33,2.27,-1.73,100.00,71.43,2.00,85.71,84.00
Property assessor,Social and community service manager,34.2,71.7,79.29,7.93,-3.76,95.00,27.50,5.85,61.25,57.67
Mechanical engineer,Biological scientist,10.1,55.0,79.28,5.45,-1.25,92.50,100.00,3.35,96.25,93.03
Web developer,Customer service representative,19.4,65.3,79.26,10.92,-4.65,75.00,100.00,7.78,87.50,80.69
Web and digital interface designer,Customer service representative,42.7,65.3,79.25,5.52,-5.31,97.50,96.43,5.41,96.96,91.71
Computer numerically controlled tool operator,Filling machine operator,7.8,57.3,79.08,2.35,-5.14,97.50,37.50,3.74,67.50,64.97
Personal financial advisor,Loan officer,32.6,51.6,79.02,6.97,-0.96,97.50,56.41,3.97,76.96,73.90
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,44.6,65.8,78.96,0.89,4.39,100.00,45.45,-1.75,72.73,71.45
Software quality tester,Customer service representative,44.1,65.3,78.93,8.73,-4.98,42.50,100.00,6.85,71.25,66.37
Postsecondary teacher,Insurance underwriter,46.6,56.9,78.78,0.24,2.68,80.00,97.50,-1.22,88.75,87.67
Web and digital interface designer,Social and community service manager,42.7,71.7,78.77,2.58,-4.42,100.00,67.50,3.50,83.75,80.82
Software developer,Insurance underwriter,20.2,56.9,78.63,13.07,-6.87,87.50,100.00,9.97,93.75,84.40
Property assessor,Insurance sales agent,34.2,54.9,78.62,4.45,2.16,60.00,86.36,1.14,73.18,72.35
Software quality tester,Graphic designer,44.1,54.7,78.60,-6.38,0.39,40.00,100.00,-3.38,70.00,67.63
Software quality tester,Insurance claims and policy processing clerk,44.1,80.1,78.58,12.26,-3.41,50.00,60.53,7.84,55.26,50.93
Chemical technician,Ophthalmic medical technician,35.0,73.7,78.53,3.27,0.02,100.00,90.91,1.63,95.45,93.90
Lawyer,Insurance underwriter,39.5,56.9,78.48,0.80,2.34,92.50,17.50,-0.77,55.00,54.58
Web and digital interface designer,Payroll and timekeeping clerk,42.7,88.2,78.41,3.45,-9.54,100.00,65.22,6.49,82.61,77.24
Database administrator,Executive secretary,30.8,90.0,78.39,22.02,-11.48,50.00,100.00,16.75,75.00,62.44
Lawyer,Loan officer,39.5,51.6,78.35,0.41,2.69,92.50,46.15,-1.14,69.33,68.54
Postsecondary teacher,Mental health counselor,46.6,74.6,78.31,-0.46,7.76,100.00,47.50,-4.11,73.75,70.72
First-line supervisor of retail sales workers,Billing and posting clerk,44.6,91.4,78.25,0.41,-3.24,58.33,91.30,1.82,74.82,73.45
First-line supervisor of retail sales workers,Social and human service assistant,44.6,75.3,78.13,3.79,8.67,91.67,55.00,-2.44,73.33,71.55
Occupational health and safety specialist,Order clerk,17.9,58.3,78.11,3.45,-5.35,97.50,96.88,4.40,97.19,92.91
Occupational health and safety specialist,Insurance sales agent,17.9,54.9,78.10,0.21,1.97,100.00,100.00,-0.88,100.00,99.12
First-line supervisor of retail sales workers,Customer service representative,44.6,65.3,78.03,3.07,-1.37,2.78,100.00,2.22,51.39,50.25
Cost estimator,Graphic designer,17.7,54.7,78.03,-2.35,-0.19,90.00,100.00,-1.08,95.00,93.97
Web and digital interface designer,Insurance sales agent,42.7,54.9,78.02,2.62,-10.66,100.00,86.36,6.64,93.18,87.00
Personal financial advisor,Insurance underwriter,32.6,56.9,78.01,8.16,-4.78,95.00,0.00,6.47,47.50,44.43
Food service manager,Lodging manager,46.7,61.6,78.00,1.53,3.99,100.00,92.50,-1.23,96.25,95.07
Software quality tester,Advertising sales agent,44.1,52.7,77.98,5.44,0.38,57.50,100.00,2.53,78.75,76.76
Software quality tester,Insurance underwriter,44.1,56.9,77.97,3.72,2.11,25.00,100.00,0.80,62.50,62.00
Printing press operator,Filling machine operator,24.7,57.3,77.95,1.83,1.60,95.00,97.50,0.12,96.25,96.14
Counter and rental clerk,Billing and posting clerk,38.7,91.4,77.93,9.61,-5.28,62.50,86.96,7.45,74.73,69.16
Web developer,Public relations specialist,19.4,76.2,77.89,9.35,-15.44,90.00,97.50,12.39,93.75,82.13
Web and digital interface designer,Public relations specialist,42.7,76.2,77.89,6.42,-15.23,95.00,77.50,10.82,86.25,76.92
Photographer,Artist,48.5,51.6,77.87,-0.20,1.99,80.00,95.00,-1.10,87.50,86.54
Database administrator,Compliance officer,30.8,51.8,77.85,3.78,-3.18,80.00,90.00,3.48,85.00,82.04
Chief executive,Executive secretary,30.6,90.0,77.82,39.83,-21.75,55.00,100.00,30.79,77.50,53.64
First-line supervisor of retail sales workers,Advertising sales agent,44.6,52.7,77.77,-0.44,4.28,2.78,100.00,-2.36,51.39,50.18
Cost estimator,Advertising sales agent,17.7,52.7,77.74,3.26,-4.81,87.50,57.69,4.04,72.60,69.67
Surgeon,Physician assistant,20.0,68.8,77.67,5.70,-4.40,3.23,100.00,5.05,51.61,49.01
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,23.5,65.8,77.67,5.85,-5.68,100.00,96.30,5.76,98.15,92.49
Web developer,Insurance sales agent,19.4,54.9,77.45,5.17,-6.69,92.50,100.00,5.93,96.25,90.54
Cost estimator,Public relations specialist,17.7,76.2,77.43,10.12,-6.39,75.00,92.50,8.25,83.75,76.84
Logistician,Compliance officer,38.7,51.8,77.42,6.74,-4.38,22.50,100.00,5.56,61.25,57.85
Mechanical engineer,Medical scientist,10.1,51.8,77.42,6.85,-0.27,80.00,100.00,3.56,90.00,86.79
Occupational health and safety specialist,Advertising sales agent,17.9,52.7,77.35,4.16,-1.93,100.00,100.00,3.04,100.00,96.96
Property assessor,Lodging manager,34.2,61.6,77.25,2.44,-1.20,100.00,70.00,1.82,85.00,83.45
Software quality tester,Insurance sales agent,44.1,54.9,77.18,2.97,-0.63,65.00,95.45,1.80,80.23,78.78
Wastewater treatment system operator,Filling machine operator,7.3,57.3,77.18,6.17,-2.41,82.50,100.00,4.29,91.25,87.34
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,44.1,53.5,77.16,0.79,0.08,59.09,100.00,0.35,79.55,79.27
Computer systems manager,Compliance officer,27.7,51.8,77.12,3.89,-5.23,92.50,75.00,4.56,83.75,79.93
Database administrator,File Clerk,30.8,76.0,77.11,2.90,-4.38,72.50,80.00,3.64,76.25,73.48
First-line supervisor of retail sales workers,First-line supervisor of food preparation and serving workers,44.6,53.5,77.10,0.34,0.31,100.00,100.00,0.02,100.00,99.98
Database administrator,Billing and posting clerk,30.8,91.4,77.03,4.23,-5.77,87.50,52.17,5.00,69.84,66.35
Software quality tester,Payroll and timekeeping clerk,44.1,88.2,76.98,7.40,-3.74,82.50,65.22,5.57,73.86,69.74
Property assessor,Executive secretary,34.2,90.0,76.98,28.02,-10.71,42.50,100.00,19.36,71.25,57.45
